ID,Geo Response,Is the bakery functional?,What is the price of a bag of bread (7-8 loaves)?,How would you describe the traffic at this bakery?,Does it look like the bakery has been damaged in the past 2 weeks?,Have you seen people being turned away from the bakery/has the bakery run out of bread in the past 2 weeks?
None,POINT (37.1621829271317 36.2283719632734),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1578431129456 36.2300639204613),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.179349064827 36.2385880583664),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1803522109985 36.219980872553),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877604722977 36.2178905330138),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.187647819519 36.2155620973362),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1987038850784 36.2230405442042),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1977919340134 36.2158434175948),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.175567150116 36.2284671638825),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1699666976929 36.2277271924615),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1663564443588 36.196672374433),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1708250045776 36.228038760229),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1722465753555 36.2313707267874),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1736359596252 36.2300033395059),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1796065568924 36.2332357006401),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1586853265762 36.2279046131479),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1711093187332 36.2335515734769),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1571403741836 36.2300725748797),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603536605835 36.2294191635993),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1629446744919 36.229501381213),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1774715185165 36.2378005881422),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1754652261734 36.2226900079778),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1913224458694 36.2155664253479),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1861243247986 36.2152071995671),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2050178050995 36.2284628365846),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1877980232239 36.2151163108551),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.171795964241 36.2296701434124),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1700793504715 36.2275367893258),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1685612201691 36.2295446536065),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1664798259735 36.2327683795822),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1423560380936 36.1763015146632),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1400815248489 36.1764270898556),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1603107452393 36.1922436244403),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1542489528656 36.2000446367764),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1587336063385 36.1916981305755),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1592700481415 36.1902521205153),Yes   ,65.0,Works with the Council   ,No   ,No   
None,POINT (37.1654605865479 36.2045119031249),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1645486354828 36.2076197926926),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1617430448532 36.2067108126911),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1574407815933 36.2070700774772),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1579772233963 36.210454876785),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1556329727173 36.2064987158383),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1566790342331 36.208875033434),"No, it appears destroyed   ",0.0,Closed   ,No   ,No   
None,POINT (37.1601015329361 36.2031786759044),"No, it appears closed   ",0.0,Closed   ,No   ,No   
None,POINT (37.205114364624 36.2111257595191),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1722090244293 36.2316736257983),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1718281507492 36.2300855565054),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1753579378128 36.2327467442803),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1772354841232 36.2323573078241),Yes   ,50.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1487557888031 36.1905205435626),Yes   ,60.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1407091617584 36.1761845996478),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1185541152954 36.19172410656),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1239668130875 36.1895420938255),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.132716178894 36.187360020294),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1442228555679 36.193278320617),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1566092967987 36.1577488169218),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1242135763168 36.1849181040211),"No, it appears closed   ",0.0,Closed   ,Yes   ,No   
None,POINT (37.1231031417847 36.1791940231937),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.12118268013 36.181263746685),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1245729923248 36.1738592536603),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1317613124847 36.1799604334557),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1299266815185 36.1815581798937),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1325552463531 36.1821210638303),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1589857339859 36.227869994509),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1326088905334 36.1807874553279),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1537286043167 36.1802418816697),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1510463953018 36.1833940325857),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1364659070969 36.1714732123981),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1416532993317 36.1767172110824),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1420449018478 36.1812983859434),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1163761615753 36.1909794582543),Yes   ,20.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1424794197083 36.1921050866759),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1529293060303 36.1594899430495),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1279793977737 36.1928843584126),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.120453119278 36.1769077378708),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1246159076691 36.1815841592414),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1294438838959 36.174062778318),"No, it appears destroyed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1568775177002 36.1847708938694),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1549946069717 36.1831515639415),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1565932035446 36.1847579047251),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1639370918274 36.1858100184353),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1750789880753 36.1884120990508),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1995139122009 36.20326524979),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1909093856812 36.1953520010835),Yes   ,60.0,Works with the Council   ,No   ,No   
None,POINT (37.1827125549316 36.195230785365),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1826642751694 36.2015597266076),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1810817718506 36.2008930906945),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1786570549011 36.2016852613067),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1718120574951 36.2050746220846),Yes   ,60.0,Closed   ,No   ,Yes   
None,POINT (37.1785497665405 36.2100869709082),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1797621250153 36.2111950116029),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1823263168335 36.2080353228914),Yes   ,60.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1850192546844 36.2089096604795),Yes   ,65.0,Works with the Council   ,No   ,Yes   
None,POINT (37.188720703125 36.2099138381324),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1908450126648 36.2082344303298),Yes   ,60.0,Somewhat busy   ,No   ,Yes   
None,POINT (37.1927118301392 36.2094723478205),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.2029900550842 36.2085027917279),Yes   ,60.0,Works with the Council   ,No   ,Yes   
None,POINT (37.1835708618164 36.2030401574884),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
None,POINT (37.1494102478027 36.1913171484796),"No, it appears closed   ",0.0,Closed   ,No   ,Yes   
